"state","period","sample","fixed_effects","outcome","contrast","variance","n","clusters","left_n","right_n","left_clusters","right_clusters","common_clusters","left_mean","right_mean","estimate","standard_error","p_value","conf_low","conf_high","mde_80","bootstrap_seed","bootstrap_B","bootstrap_p","bootstrap_low","bootstrap_high"
"raj","05_10","full",FALSE,"female_winner_2010","treat_2005","cluster",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.01472507347458,0.00940483824216404,0.118795698740518,-0.00380557813646835,0.0332557250856283,0.0263484557979903,NA,NA,NA,NA,NA
"raj","05_10","full",FALSE,"female_winner_2010","treat_2005","HC1",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.01472507347458,0.010088409126568,0.144476565575883,-0.00505374294606051,0.0345038898952204,0.0282635378832689,NA,NA,NA,NA,NA
"raj","05_10","full",TRUE,"female_winner_2010","treat_2005","cluster",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.0143705042905542,0.00926426777107108,0.122234546560827,-0.00388317685491538,0.0326241854360239,0.0259546356440731,120002,9999,0.121312131213121,-0.00368891004736463,0.0324882118759899
"raj","05_10","full",TRUE,"female_winner_2010","treat_2005","HC1",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.0143705042905542,0.00996910053560275,0.149523954561194,-0.00517475203055122,0.0339157606116597,0.0279292846984267,120002,9999,0.121312131213121,-0.00368891004736463,0.0324882118759899
"raj","05_10","restricted",FALSE,"female_winner_2010","treat_2005","cluster",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.01472507347458,0.00940483824216404,0.118795698740518,-0.00380557813646835,0.0332557250856283,0.0263484557979903,NA,NA,NA,NA,NA
"raj","05_10","restricted",FALSE,"female_winner_2010","treat_2005","HC1",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.01472507347458,0.010088409126568,0.144476565575883,-0.00505374294606051,0.0345038898952204,0.0282635378832689,NA,NA,NA,NA,NA
"raj","05_10","restricted",TRUE,"female_winner_2010","treat_2005","cluster",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.0143705042905542,0.00926426777107108,0.122234546560827,-0.00388317685491538,0.0326241854360239,0.0259546356440731,120004,9999,0.121512151215122,-0.00376515513794757,0.0325195478808464
"raj","05_10","restricted",TRUE,"female_winner_2010","treat_2005","HC1",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.0143705042905542,0.00996910053560275,0.149523954561194,-0.00517475203055122,0.0339157606116597,0.0279292846984267,120004,9999,0.121512151215122,-0.00376515513794757,0.0325195478808464
"raj","10_15","full",FALSE,"female_winner_2015","treat_2010","cluster",3867,248,2584,1283,247,234,233,0.0677244582043344,0.088074824629774,-0.0203503664254396,0.0116080033528107,0.0808198219610566,-0.0432136611073524,0.00251292825647325,0.0325208106050403,NA,NA,NA,NA,NA
"raj","10_15","full",FALSE,"female_winner_2015","treat_2010","HC1",3867,248,2584,1283,247,234,233,0.0677244582043344,0.088074824629774,-0.0203503664254396,0.00933170051289136,0.0292599433977072,-0.0386458927477889,-0.00205484010309028,0.0261435542167736,NA,NA,NA,NA,NA
"raj","10_15","full",TRUE,"female_winner_2015","treat_2010","cluster",3867,248,2584,1283,247,234,233,0.0677244582043344,0.088074824629774,-0.0281400965476745,0.0113968401349687,0.0142222315836818,-0.0505874810399738,-0.00569271205537526,0.031929218855325,120006,9999,0.0129012901290129,-0.0506257111779484,-0.0057629011175212
"raj","10_15","full",TRUE,"female_winner_2015","treat_2010","HC1",3867,248,2584,1283,247,234,233,0.0677244582043344,0.088074824629774,-0.0281400965476745,0.0102156987401634,0.00590590025963589,-0.0481691986472224,-0.00811099444812668,0.028620150583137,120006,9999,0.0129012901290129,-0.0506257111779484,-0.0057629011175212
"raj","10_15","restricted",FALSE,"female_winner_2015","treat_2010","cluster",777,47,356,421,47,47,47,0.0561797752808989,0.0356294536817102,0.0205503215991887,0.0159965227621607,0.205337945650436,-0.0116490086667791,0.0527496518651565,0.0448156217116771,NA,NA,NA,NA,NA
"raj","10_15","restricted",FALSE,"female_winner_2015","treat_2010","HC1",777,47,356,421,47,47,47,0.0561797752808989,0.0356294536817102,0.0205503215991887,0.0152037133404994,0.176876993481469,-0.00929501900193343,0.0503956622003108,0.0425944985551701,NA,NA,NA,NA,NA
"raj","10_15","restricted",TRUE,"female_winner_2015","treat_2010","cluster",777,47,356,421,47,47,47,0.0561797752808989,0.0356294536817102,0.0206401341544212,0.0158098469009188,0.198206558046157,-0.0111834370920284,0.0524637054008707,0.0442926333782434,120008,9999,0.196719671967197,-0.0110592611615268,0.0525529896961374
"raj","10_15","restricted",TRUE,"female_winner_2015","treat_2010","HC1",777,47,356,421,47,47,47,0.0561797752808989,0.0356294536817102,0.0206401341544212,0.0148832578599497,0.165925995564032,-0.00857902663684575,0.0498592949456881,0.0416967152177987,120008,9999,0.196719671967197,-0.0110592611615268,0.0525529896961374
"raj","15_20","full",FALSE,"female_winner_2020","treat_2015","cluster",4014,294,2504,1510,294,275,275,0.126996805111821,0.121854304635762,0.00514250047605948,0.0110321820456895,0.641464291275541,-0.016569864776878,0.026854865728997,0.030907598142735,NA,NA,NA,NA,NA
"raj","15_20","full",FALSE,"female_winner_2020","treat_2015","HC1",4014,294,2504,1510,294,275,275,0.126996805111821,0.121854304635762,0.00514250047605948,0.0107330700497997,0.6318746063206,-0.0159002785467143,0.0261852794988333,0.03006961039649,NA,NA,NA,NA,NA
"raj","15_20","full",TRUE,"female_winner_2020","treat_2015","cluster",4014,294,2504,1510,294,275,275,0.126996805111821,0.121854304635762,0.0041160236248387,0.011375054399958,0.717727557858668,-0.0182711464636408,0.0265031937133183,0.0318681842621531,120010,9999,0.714971497149715,-0.0180336015165973,0.0263086846688162
